# -----------------------------------------------------------------------
# [y] hybris Platform
#
# Copyright (c) 2017 SAP SE or an SAP affiliate company.  All rights reserved.
#
# This software is the confidential and proprietary information of SAP
# ("Confidential Information"). You shall not disclose such Confidential
# Information and shall use it only in accordance with the terms of the
# license agreement you entered into with SAP.
# -----------------------------------------------------------------------

﻿##############################################################################################################################
### Import root chapters

INSERT_UPDATE Chapter;code[unique=true];publicationPOS;$publication[unique=true];
;caps;0;
;sunglasses;1;
;shoes;2;
;shirts;3;
;helmet;4;
;backpack;5;
;snow;6;
;surf;7;
;kids;8;
;streetwear;9;



##############################################################################################################################
### Import sub chapters

INSERT_UPDATE Chapter;code[unique=true];$superchapter;superChapterPOS;$publication[unique=true];
