# -----------------------------------------------------------------------
# [y] hybris Platform
#
# Copyright (c) 2017 SAP SE or an SAP affiliate company.  All rights reserved.
#
# This software is the confidential and proprietary information of SAP
# ("Confidential Information"). You shall not disclose such Confidential
# Information and shall use it only in accordance with the terms of the
# license agreement you entered into with SAP.
# -----------------------------------------------------------------------

﻿# Language
$lang=de


UPDATE Chapter;code[unique=true];title[lang=$lang];subTitle[lang=$lang];subTitle2[lang=$lang];header[lang=$lang];footer[lang=$lang];description[lang=$lang];$publication[unique=true];
;components;"Komponenten";
;datastorage;"Datenspeicher";
;cameras;"Kameras";
;binoculars;"Ferngläser";

;powersupplies;"Stromversorgung";

;filmcameras;"Filmkameras";
;digitalcameras;"Digitale Kameras";
;webcams;"Webcams";
;hand-heldcamcorders;"Camcorder";
;cameraaccessories_supplies;"Kamerazubehör";
