# -----------------------------------------------------------------------
# [y] hybris Platform
#
# Copyright (c) 2017 SAP SE or an SAP affiliate company.  All rights reserved.
#
# This software is the confidential and proprietary information of SAP
# ("Confidential Information"). You shall not disclose such Confidential
# Information and shall use it only in accordance with the terms of the
# license agreement you entered into with SAP.
# -----------------------------------------------------------------------

﻿# Language
$lang=de


UPDATE Page;code[unique=true];title[lang=$lang];subTitle[lang=$lang];subTitle2[lang=$lang];$publication[unique=true];
;rechargeablebatteries_intro;"Wiederaufladbare Batterien / Akkus";
;rechargeablebatteries;"Wiederaufladbare Batterien / Akkus";
;poweradapters_inverters;"Strom Adapter und Inverter";
;batterychargers;"Ladegeräte";

;flashmemory;"Flash-Speicher";

;filmcameras;"Filmkameras";

;digitalcompacts;"Digitalkompakt-Kameras";
;digitalslr;"Digitale Spiegelreflexkameras";

;webcams;"Webcams";

;hand-heldcamcorders;"Camcorder";

;cameraflashes;"Kamerablitze u. -beleuchtung";
;tripods;"Stative";
;cameralenses;"Kameraobjektive";
;colourfilms;"Farbfilme";
;black_whitefilms;"Schwarz-Weiß-Filme";
;blankvideotapes;"Videobänder";
;cameracables;"Kamerakabel";
;fixatives;"Fixiermittel";
;camerakits;"Kamera Sets";

;binoculars;"Ferngläser"
