# -----------------------------------------------------------------------
# [y] hybris Platform
#
# Copyright (c) 2017 SAP SE or an SAP affiliate company.  All rights reserved.
#
# This software is the confidential and proprietary information of SAP
# ("Confidential Information"). You shall not disclose such Confidential
# Information and shall use it only in accordance with the terms of the
# license agreement you entered into with SAP.
# -----------------------------------------------------------------------

﻿# Language
$lang=en


UPDATE Page;code[unique=true];title[lang=$lang];subTitle[lang=$lang];subTitle2[lang=$lang];$publication[unique=true];
;rechargeablebatteries_intro;"Rechargeable Batteries";
;rechargeablebatteries;"Rechargeable Batteries";
;poweradapters_inverters;"Power Adapters & Inverters";
;batterychargers;"Battery Chargers";

;flashmemory;"Flash Memory";

;filmcameras;"Film cameras";

;digitalcompacts;"Digital Compacts";
;digitalslr;"Digital SLR";

;webcams;"Webcams";

;hand-heldcamcorders;"Hand-held Camcorders";

;cameraflashes;"Camera Flashes";
;tripods;"Tripods";
;cameralenses;"Camera Lenses";
;colourfilms;"Colour Films";
;black_whitefilms;"Black & White Films";
;blankvideotapes;"Blank Video Tapes";
;cameracables;"Camera Cables";
;fixatives;"Fixatives";
;camerakits;"Camera Kits";

;binoculars;"Binoculars"
